"dict_address","dict_adjective","dict_adverb","dict_first_name","dict_noun","dict_preposition","dict_pronoun","dict_surname","dict_verb","past_participle","past_tense",plural,term
,,,,a,,,,,,,,a
,,,aaden,,,,,,,,,aaden
,,,aadhya,,,aadhya,,,,,,aadhya
,,,aaliyah,,,aaliyah,,,,,,aaliyah
,,,aarav,,,,,,,,,aarav
,,,aaron,,,,,,,,,aaron
,,,,,,,abbott,,,,,abbott
,,,abby,,,abby,,,,,,abby
,,,abdiel,,,,,,,,,abdiel
,,,abdullah,,,,,,,,,abdullah
,,,abel,,,,,,,,,abel
,,,abigail,,,abigail,,,,,,abigail
,,,,abilities,,,,,,,True,abilities
,,,,ability,,,,,,,,ability
,able,,,,,,,,,,,able
,,about,,,about,,,,,,,about
,,above,,,above,,,,,,,above
,,,abraham,,,,,,,,,abraham
,,,abram,,,,,,,,,abram
,,,abril,,,abril,,,,,,abril
,,abroad,,abroad,,,,,,,,abroad
,,,,abroads,,,,,,,True,abroads
,,absolutely,,,,,,,,,,absolutely
,,,,abuse,,,,abuse,,,,abuse
,,,,abuses,,,,,,,True,abuses
,,,,,,,,accept,,,,accept
,acceptable,,,,,,,,,,,acceptable
,,,,access,,,,access,,,,access
,,,,accesses,,,,,,,True,accesses
,,,,accident,,,,,,,,accident
,,,,accidents,,,,,,,True,accidents
,according,,,,,,,according,,,,according
,,,,account,,,,account,,,,account
,,,,accounts,,,,,,,True,accounts
,accurate,,,,,,,,,,,accurate
,,,,,,,,accuse,,,,accuse
,,,ace,,,,,,,,,ace
,,,,,,,acevedo,,,,,acevedo
,,,,,,,,achieve,,,,achieve
,,,achilles,,,,,,,,,achilles
,,,,,,,acosta,,,,,acosta
,,,,,,,,acquire,,,,acquire
,,across,,,across,,,,,,,across
,,,,act,,,,act,,,,act
,action,,,action,,,,,,,,action
,,,,actions,,,,,,,True,actions
,active,,,active,,,,,,,,active
,,,,actives,,,,,,,True,actives
,,,,activities,,,,,,,True,activities
,,,,activity,,,,,,,,activity
,,,,actor,,,,,,,,actor
,,,,actors,,,,,,,True,actors
,,,,acts,,,,,,,True,acts
,actual,,,,,,,,,,,actual
,,actually,,,,,,,,,,actually
,,,,ad,,,,,,,,ad
,,,ada,,,ada,,,,,,ada
,,,adaline,,,adaline,,,,,,adaline
,,,adalyn,,,adalyn,,,,,,adalyn
,,,adalynn,,,adalynn,,,,,,adalynn
,,,adam,,,,,,,,,adam
,,,,,,,adams,,,,,adams
,,,adan,,,,,,,,,adan
,,,,,,,,adapt,,,,adapt
,,,,,,,,add,,,,add
,,,addilyn,,,addilyn,,,,,,addilyn
,,,addilynn,,,addilynn,,,,,,addilynn
,,,addison,,,addison,,,,,,addison
,,,addisyn,,,addisyn,,,,,,addisyn
,,,,addition,,,,,,,,addition
,additional,,,,,,,,,,,additional
,,,,additions,,,,,,,True,additions
,,,,address,,,,address,,,,address
,,,,addresses,,,,,,,True,addresses
,,,addyson,,,addyson,,,,,,addyson
,,,adelaide,,,adelaide,,,,,,adelaide
,,,adele,,,adele,,,,,,adele
,,,adelina,,,adelina,,,,,,adelina
,,,adeline,,,adeline,,,,,,adeline
,,,adelyn,,,adelyn,,,,,,adelyn
,,,adelynn,,,adelynn,,,,,,adelynn
,,,aden,,,,,,,,,aden
,,,adilynn,,,adilynn,,,,,,adilynn
,,,,,,,,adjust,,,,adjust
,,,,,,,adkins,,,,,adkins
,,,adley,,,adley,,,,,,adley
,,,,administration,,,,,,,,administration
,,,,administrations,,,,,,,True,administrations
,administrative,,,,,,,,,,,administrative
,,,,,,,,admire,,,,admire
,,,,,,,,admit,,,,admit
,,,adonis,,,,,,,,,adonis
,,,,,,,,adopt,,,,adopt
,,,adrian,,,,,,,,,adrian
,,,adriana,,,adriana,,,,,,adriana
,,,adrianna,,,adrianna,,,,,,adrianna
,,,adriel,,,,,,,,,adriel
,,,adrien,,,,,,,,,adrien
,,,adrienne,,,adrienne,,,,,,adrienne
,,,,ads,,,,,,,True,ads
,adult,,,adult,,,,,,,,adult
,,,,adults,,,,,,,True,adults
,,,,advance,,,,advance,,,,advance
,,,,,,,,advanced,,,,advanced
,,,,advances,,,,,,,True,advances
,,,,advantage,,,,advantage,,,,advantage
,,,,advantages,,,,,,,True,advantages
,,,,advertising,,,,,,,,advertising
,,,,advertisings,,,,,,,True,advertisings
,,,,advice,,,,,,,,advice
,,,,advices,,,,,,,True,advices
,,,,affair,,,,,,,,affair
,,,,affairs,,,,,,,True,affairs
,,,,affect,,,,affect,,,,affect
,,,,affects,,,,,,,True,affects
,,,,,,,,afford,,,,afford
,afraid,,,,,,,,,,,afraid
,after,,,,after,,,,,,,after
,afternoon,,,afternoon,,,,,,,,afternoon
,,,,afternoons,,,,,,,True,afternoons
,,again,,,,,,,,,,again
,,,,,against,,,,,,,against
,,,,age,,,,age,,,,age
,,,,agencies,,,,,,,True,agencies
,,,,agency,,,,,,,,agency
,agent,,,agent,,,,,,,,agent
,,,,agents,,,,,,,True,agents
,,,,ages,,,,,,,True,ages
,aggressive,,,,,,,,,,,aggressive
,ago,ago,,,,,,,,,,ago
,,,,,,,,agree,,,,agree
,,,,agreement,,,,,,,,agreement
,,,,agreements,,,,,,,True,agreements
,,,,,,,aguilar,,,,,aguilar
,,,,,,,aguirre,,,,,aguirre
,,,agustin,,,,,,,,,agustin
,,ahead,,,,,,,,,,ahead
,,,ahmad,,,,,,,,,ahmad
,,,ahmed,,,,ahmed,,,,,ahmed
,,,aidan,,,,,,,,,aidan
,,,aiden,,,,,,,,,aiden
,,,ailani,,,ailani,,,,,,ailani
,,,aileen,,,aileen,,,,,,aileen
,,,ainsley,,,ainsley,,,,,,ainsley
,,,,air,,,,air,,,,air
,airline,,,airline,,,,,,,,airline
,,,,airlines,,,,,,,True,airlines
,,,,airport,,,,,,,,airport
,,,,airports,,,,,,,True,airports
,,,,airs,,,,,,,True,airs
,,,aisha,,,aisha,,,,,,aisha
,,,aitana,,,aitana,,,,,,aitana
,,,aiyana,,,aiyana,,,,,,aiyana
,,,alaia,,,alaia,,,,,,alaia
,,,alaina,,,alaina,,,,,,alaina
,,,alan,,,,,,,,,alan
,,,alana,,,alana,,,,,,alana
,,,alani,,,alani,,,,,,alani
,,,alanna,,,alanna,,,,,,alanna
,,,alannah,,,alannah,,,,,,alannah
,,,alaric,,,,,,,,,alaric
,,,,alarm,,,,alarm,,,,alarm
,,,,alarms,,,,,,,True,alarms
,,,alaya,,,alaya,,,,,,alaya
,,,alayah,,,alayah,,,,,,alayah
,,,alayna,,,alayna,,,,,,alayna
,,,albert,,,,,,,,,albert
,,,alberto,,,,,,,,,alberto
,,,,alcohol,,,,,,,,alcohol
,,,,alcohols,,,,,,,True,alcohols
,,,alden,,,,,,,,,alden
,,,aldo,,,,,,,,,aldo
,,,aleah,,,aleah,,,,,,aleah
,,,alec,,,,,,,,,alec
,,,aleena,,,aleena,,,,,,aleena
,,,alejandra,,,alejandra,,,,,,alejandra
,,,alejandro,,,,,,,,,alejandro
,,,alena,,,alena,,,,,,alena
,,,alessandra,,,alessandra,,,,,,alessandra
,,,alessandro,,,,,,,,,alessandro
,,,alessia,,,alessia,,,,,,alessia
,,,alex,,,,,,,,,alex
,,,alexa,,,alexa,,,,,,alexa
,,,alexander,,,,alexander,,,,,alexander
,,,alexandra,,,alexandra,,,,,,alexandra
,,,alexandria,,,alexandria,,,,,,alexandria
,,,alexia,,,alexia,,,,,,alexia
,,,alexis,,,alexis,,,,,,alexis
,,,alexzander,,,,,,,,,alexzander
,,,,,,,alfaro,,,,,alfaro
,,,alfonso,,,,,,,,,alfonso
,,,alfred,,,,,,,,,alfred
,,,alfredo,,,,,,,,,alfredo
,,,ali,,,,ali,,,,,ali
,,,alia,,,alia,,,,,,alia
,,,aliana,,,aliana,,,,,,aliana
,,,alice,,,alice,,,,,,alice
,,,alicia,,,alicia,,,,,,alicia
,,,alijah,,,,,,,,,alijah
,,,alina,,,alina,,,,,,alina
,,,alisa,,,alisa,,,,,,alisa
,,,alisha,,,alisha,,,,,,alisha
,,,alison,,,alison,,,,,,alison
,,,alistair,,,,,,,,,alistair
,alive,,,,,,,,,,,alive
,,,alivia,,,alivia,,,,,,alivia
,,,aliya,,,aliya,,,,,,aliya
,,,aliyah,,,aliyah,,,,,,aliyah
,,,aliza,,,aliza,,,,,,aliza
,all,,,,,all,,,,,,all
,,,allan,,,,,,,,,allan
allee,,,,,,,,,,,,allee
,,,allen,,,,allen,,,,,allen
alley,,,,,,,,,,,,alley
,,,allie,,,allie,,,,,,allie
,,,allison,,,allison,allison,,,,,allison
,,,,,,,,allow,,,,allow
ally,,,,,,,,,,,,ally
,,,allyson,,,allyson,,,,,,allyson
,,,alma,,,alma,,,,,,alma
,,almost,,,,,,,,,,almost
,,,alondra,,,alondra,,,,,,alondra
,alone,alone,,,,,,,,,,alone
,,along,,,along,,,,,,,along
,,,alonso,,,,,,,,,alonso
,,,alonzo,,,,,,,,,alonzo
,,,alora,,,alora,,,,,,alora
,,already,,,,,,,,,,already
,,also,,,,,,,,,,also
,alternative,,,alternative,,,,,,,,alternative
,,,,alternatives,,,,,,,True,alternatives
,,altogether,,,,,,,,,,altogether
,,,,,,,alvarado,,,,,alvarado
,,,,,,,alvarez,,,,,alvarez
,,,alvaro,,,,,,,,,alvaro
,,,alvin,,,,,,,,,alvin
,,always,,,,,,,,,,always
aly,,,,,,,,,,,,aly
,,,alyson,,,alyson,,,,,,alyson
,,,alyssa,,,alyssa,,,,,,alyssa
,,,amalia,,,amalia,,,,,,amalia
,,,amanda,,,amanda,,,,,,amanda
,,,amani,,,amani,,,,,,amani
,,,amara,,,amara,,,,,,amara
,,,amari,,,amari,,,,,,amari
,,,amaris,,,amaris,,,,,,amaris
,,,amaya,,,amaya,,,,,,amaya
,,,amayah,,,amayah,,,,,,amayah
,amazing,,,,,,,amazing,,,,amazing
,,,amber,,,amber,,,,,,amber
,,,,ambition,,,,,,,,ambition
,,,,ambitions,,,,,,,True,ambitions
,,,ameer,,,,,,,,,ameer
,,,amelia,,,amelia,,,,,,amelia
,,,amelie,,,amelie,,,,,,amelie
,,,amia,,,amia,,,,,,amia
,,,amina,,,amina,,,,,,amina
,,,aminah,,,aminah,,,,,,aminah
,,,amir,,,,,,,,,amir
,,,amira,,,amira,,,,,,amira
,,,amirah,,,amirah,,,,,,amirah
,,,amiya,,,amiya,,,,,,amiya
,,,amiyah,,,amiyah,,,,,,amiyah
,,,,,among,,,,,,,among
,,,amora,,,amora,,,,,,amora
,,,amos,,,,,,,,,amos
,,,,amount,,,,amount,,,,amount
,,,,amounts,,,,,,,True,amounts
,,,amy,,,amy,,,,,,amy
,,,ana,,,ana,,,,,,ana
,,,anabelle,,,anabelle,,,,,,anabelle
,,,anahi,,,anahi,,,,,,anahi
,,,anakin,,,,,,,,,anakin
,,,analia,,,analia,,,,,,analia
,,,,analysis,,,,,,,,analysis
,,,,analysises,,,,,,,True,analysises
,,,,analyst,,,,,,,,analyst
,,,,analysts,,,,,,,True,analysts
,,,anastasia,,,anastasia,,,,,,anastasia
,,,anaya,,,anaya,,,,,,anaya
,,,anders,,,,,,,,,anders
,,,,,,,andersen,,,,,andersen
,,,anderson,,,,anderson,,,,,anderson
