term,"dict_address","dict_adjective","dict_adverb","dict_first_name","dict_medical","dict_noun","dict_preposition","dict_pronoun","dict_surname","dict_verb","past_participle","past_tense",plural,"present_tense"
a,,,,,,a,,,,,,,,
aaden,,,,aaden,,,,,,,,,,
aadhya,,,,aadhya,,,,,,,,,,
aaliyah,,,,aaliyah,,,,,,,,,,
aarav,,,,aarav,,,,,,,,,,
aaron,,,,aaron,,,,,,,,,,
abbott,,,,,,,,,abbott,,,,,
abby,,,,abby,,,,,,,,,,
abdiel,,,,abdiel,,,,,,,,,,
abdullah,,,,abdullah,,,,,,,,,,
abel,,,,abel,,,,,,,,,,
abigail,,,,abigail,,,,,,,,,,
abilities,,,,,,abilities,,,,,,,True,
ability,,,,,,ability,,,,,,,,
able,,able,,,,,,,,,,,,
about,,,about,,,,about,,,,,,,
above,,,above,,,,above,,,,,,,
abraham,,,,abraham,,,,,,,,,,
abram,,,,abram,,,,,,,,,,
abrasion,,,,,abrasion,,,,,,,,,
abril,,,,abril,,,,,,,,,,
abroad,,,abroad,,,abroad,,,,,,,,
abroads,,,,,,abroads,,,,,,,True,
abscess,,,,,abscess,,,,,,,,,
absolutely,,,absolutely,,,,,,,,,,,
abuse,,,,,,abuse,,,,abuse,,,,
abused,,,,,,,,,,abused,,True,,
abuses,,,,,,abuses,,,,,,,True,
abusing,,,,,,,,,,abusing,,,,True
accept,,,,,,,,,,accept,,,,
acceptable,,acceptable,,,,,,,,,,,,
accepted,,,,,,,,,,accepted,,True,,
accepting,,,,,,,,,,accepting,,,,True
access,,,,,,access,,,,access,,,,
accessed,,,,,,,,,,accessed,,True,,
accesses,,,,,,accesses,,,,,,,True,
accessing,,,,,,,,,,accessing,,,,True
accident,,,,,,accident,,,,,,,,
accidents,,,,,,accidents,,,,,,,True,
according,,according,,,,,,,,according,,,,
accordinged,,,,,,,,,,accordinged,,True,,
accordinging,,,,,,,,,,accordinging,,,,True
account,,,,,,account,,,,account,,,,
accounted,,,,,,,,,,accounted,,True,,
accounting,,,,,,,,,,accounting,,,,True
accounts,,,,,,accounts,,,,,,,True,
accurate,,accurate,,,,,,,,,,,,
accuse,,,,,,,,,,accuse,,,,
accused,,,,,,,,,,accused,,True,,
accusing,,,,,,,,,,accusing,,,,True
ace,,,,ace,,,,,,,,,,
acevedo,,,,,,,,,acevedo,,,,,
achieve,,,,,,,,,,achieve,,,,
achieved,,,,,,,,,,achieved,,True,,
achieving,,,,,,,,,,achieving,,,,True
achilles,,,,achilles,,,,,,,,,,
acosta,,,,,,,,,acosta,,,,,
acquire,,,,,,,,,,acquire,,,,
acquired,,,,,,,,,,acquired,,True,,
acquiring,,,,,,,,,,acquiring,,,,True
across,,,across,,,,across,,,,,,,
act,,,,,,act,,,,act,,,,
acted,,,,,,,,,,acted,,True,,
acting,,,,,,,,,,acting,,,,True
action,,action,,,,action,,,,,,,,
actions,,,,,,actions,,,,,,,True,
active,,active,,,,active,,,,,,,,
actives,,,,,,actives,,,,,,,True,
activities,,,,,,activities,,,,,,,True,
activity,,,,,,activity,,,,,,,,
actor,,,,,,actor,,,,,,,,
actors,,,,,,actors,,,,,,,True,
acts,,,,,,acts,,,,,,,True,
actual,,actual,,,,,,,,,,,,
actually,,,actually,,,,,,,,,,,
acute,,,,,acute,,,,,,,,,
ad,,,,,,ad,,,,,,,,
ada,,,,ada,,,,,,,,,,
adaline,,,,adaline,,,,,,,,,,
adalyn,,,,adalyn,,,,,,,,,,
adalynn,,,,adalynn,,,,,,,,,,
adam,,,,adam,,,,,,,,,,
adams,,,,,,,,,adams,,,,,
adan,,,,adan,,,,,,,,,,
adapt,,,,,,,,,,adapt,,,,
adapted,,,,,,,,,,adapted,,True,,
adapting,,,,,,,,,,adapting,,,,True
add,,,,,,,,,,add,,,,
added,,,,,,,,,,added,,True,,
addilyn,,,,addilyn,,,,,,,,,,
addilynn,,,,addilynn,,,,,,,,,,
adding,,,,,,,,,,adding,,,,True
addison,,,,addison,,,,,,,,,,
addisyn,,,,addisyn,,,,,,,,,,
addition,,,,,,addition,,,,,,,,
additional,,additional,,,,,,,,,,,,
additions,,,,,,additions,,,,,,,True,
address,,,,,,address,,,,address,,,,
addressed,,,,,,,,,,addressed,,True,,
addresses,,,,,,addresses,,,,,,,True,
addressing,,,,,,,,,,addressing,,,,True
addyson,,,,addyson,,,,,,,,,,
adelaide,,,,adelaide,,,,,,,,,,
adele,,,,adele,,,,,,,,,,
adelina,,,,adelina,,,,,,,,,,
adeline,,,,adeline,,,,,,,,,,
adelyn,,,,adelyn,,,,,,,,,,
adelynn,,,,adelynn,,,,,,,,,,
aden,,,,aden,,,,,,,,,,
adilynn,,,,adilynn,,,,,,,,,,
adjust,,,,,,,,,,adjust,,,,
adjusted,,,,,,,,,,adjusted,,True,,
adjusting,,,,,,,,,,adjusting,,,,True
adkins,,,,,,,,,adkins,,,,,
adley,,,,adley,,,,,,,,,,
administration,,,,,,administration,,,,,,,,
administrations,,,,,,administrations,,,,,,,True,
administrative,,administrative,,,,,,,,,,,,
admire,,,,,,,,,,admire,,,,
admired,,,,,,,,,,admired,,True,,
admiring,,,,,,,,,,admiring,,,,True
admit,,,,,,,,,,admit,,,,
admited,,,,,,,,,,admited,,True,,
admiting,,,,,,,,,,admiting,,,,True
adonis,,,,adonis,,,,,,,,,,
adopt,,,,,,,,,,adopt,,,,
adopted,,,,,,,,,,adopted,,True,,
adopting,,,,,,,,,,adopting,,,,True
adrian,,,,adrian,,,,,,,,,,
adriana,,,,adriana,,,,,,,,,,
adrianna,,,,adrianna,,,,,,,,,,
adriel,,,,adriel,,,,,,,,,,
adrien,,,,adrien,,,,,,,,,,
adrienne,,,,adrienne,,,,,,,,,,
ads,,,,,,ads,,,,,,,True,
adult,,adult,,,,adult,,,,,,,,
adults,,,,,,adults,,,,,,,True,
advance,,,,,,advance,,,,advance,,,,
advanced,,,,,,,,,,advanced,,True,,
advanceded,,,,,,,,,,advanceded,,True,,
advances,,,,,,advances,,,,,,,True,
advancing,,,,,,,,,,advancing,,,,True
advantage,,,,,,advantage,,,,advantage,,,,
advantaged,,,,,,,,,,advantaged,,True,,
advantages,,,,,,advantages,,,,,,,True,
advantaging,,,,,,,,,,advantaging,,,,True
advertising,,,,,,advertising,,,,,,,,
advertisings,,,,,,advertisings,,,,,,,True,
advice,,,,,,advice,,,,,,,,
advices,,,,,,advices,,,,,,,True,
affair,,,,,,affair,,,,,,,,
affairs,,,,,,affairs,,,,,,,True,
affect,,,,,,affect,,,,affect,,,,
affected,,,,,,,,,,affected,,True,,
affecting,,,,,,,,,,affecting,,,,True
affects,,,,,,affects,,,,,,,True,
afford,,,,,,,,,,afford,,,,
afforded,,,,,,,,,,afforded,,True,,
affording,,,,,,,,,,affording,,,,True
afraid,,afraid,,,,,,,,,,,,
after,,after,,,,,after,,,,,,,
afternoon,,afternoon,,,,afternoon,,,,,,,,
afternoons,,,,,,afternoons,,,,,,,True,
again,,,again,,,,,,,,,,,
against,,,,,,,against,,,,,,,
age,,,,,,age,,,,age,,,,
aged,,,,,,,,,,aged,,True,,
agencies,,,,,,agencies,,,,,,,True,
agency,,,,,,agency,,,,,,,,
agent,,agent,,,,agent,,,,,,,,
agents,,,,,,agents,,,,,,,True,
ages,,,,,,ages,,,,,,,True,
aggressive,,aggressive,,,,,,,,,,,,
aging,,,,,,,,,,aging,,,,True
ago,,ago,ago,,,,,,,,,,,
agree,,,,,,,,,,agree,,,,
agreed,,,,,,,,,,agreed,,True,,
agreeing,,,,,,,,,,agreeing,,,,True
agreement,,,,,,agreement,,,,,,,,
agreements,,,,,,agreements,,,,,,,True,
aguilar,,,,,,,,,aguilar,,,,,
aguirre,,,,,,,,,aguirre,,,,,
agustin,,,,agustin,,,,,,,,,,
ahead,,,ahead,,,,,,,,,,,
ahmad,,,,ahmad,,,,,,,,,,
ahmed,,,,ahmed,,,,,ahmed,,,,,
aidan,,,,aidan,,,,,,,,,,
aiden,,,,aiden,,,,,,,,,,
ailani,,,,ailani,,,,,,,,,,
aileen,,,,aileen,,,,,,,,,,
ainsley,,,,ainsley,,,,,,,,,,
air,,,,,,air,,,,air,,,,
aired,,,,,,,,,,aired,,True,,
airing,,,,,,,,,,airing,,,,True
airline,,airline,,,,airline,,,,,,,,
airlines,,,,,,airlines,,,,,,,True,
airport,,,,,,airport,,,,,,,,
airports,,,,,,airports,,,,,,,True,
airs,,,,,,airs,,,,,,,True,
aisha,,,,aisha,,,,,,,,,,
aitana,,,,aitana,,,,,,,,,,
aiyana,,,,aiyana,,,,,,,,,,
alaia,,,,alaia,,,,,,,,,,
alaina,,,,alaina,,,,,,,,,,
alan,,,,alan,,,,,,,,,,
alana,,,,alana,,,,,,,,,,
alani,,,,alani,,,,,,,,,,
alanna,,,,alanna,,,,,,,,,,
alannah,,,,alannah,,,,,,,,,,
alaric,,,,alaric,,,,,,,,,,
alarm,,,,,,alarm,,,,alarm,,,,
alarmed,,,,,,,,,,alarmed,,True,,
alarming,,,,,,,,,,alarming,,,,True
alarms,,,,,,alarms,,,,,,,True,
alaya,,,,alaya,,,,,,,,,,
alayah,,,,alayah,,,,,,,,,,
alayna,,,,alayna,,,,,,,,,,
albert,,,,albert,,,,,,,,,,
alberto,,,,alberto,,,,,,,,,,
alcohol,,,,,,alcohol,,,,,,,,
alcohols,,,,,,alcohols,,,,,,,True,
alden,,,,alden,,,,,,,,,,
aldo,,,,aldo,,,,,,,,,,
aleah,,,,aleah,,,,,,,,,,
alec,,,,alec,,,,,,,,,,
aleena,,,,aleena,,,,,,,,,,
alejandra,,,,alejandra,,,,,,,,,,
alejandro,,,,alejandro,,,,,,,,,,
alena,,,,alena,,,,,,,,,,
alessandra,,,,alessandra,,,,,,,,,,
alessandro,,,,alessandro,,,,,,,,,,
alessia,,,,alessia,,,,,,,,,,
alex,,,,alex,,,,,,,,,,
alexa,,,,alexa,,,,,,,,,,
alexander,,,,alexander,,,,,alexander,,,,,
alexandra,,,,alexandra,,,,,,,,,,
alexandria,,,,alexandria,,,,,,,,,,
alexia,,,,alexia,,,,,,,,,,
alexis,,,,alexis,,,,,,,,,,
alexzander,,,,alexzander,,,,,,,,,,
alfaro,,,,,,,,,alfaro,,,,,
alfonso,,,,alfonso,,,,,,,,,,
alfred,,,,alfred,,,,,,,,,,
alfredo,,,,alfredo,,,,,,,,,,
ali,,,,ali,,,,,ali,,,,,
alia,,,,alia,,,,,,,,,,
aliana,,,,aliana,,,,,,,,,,
alice,,,,alice,,,,,,,,,,
alicia,,,,alicia,,,,,,,,,,
alijah,,,,alijah,,,,,,,,,,
alina,,,,alina,,,,,,,,,,
alisa,,,,alisa,,,,,,,,,,
alisha,,,,alisha,,,,,,,,,,
alison,,,,alison,,,,,,,,,,
alistair,,,,alistair,,,,,,,,,,
alive,,alive,,,,,,,,,,,,
alivia,,,,alivia,,,,,,,,,,
aliya,,,,aliya,,,,,,,,,,
aliyah,,,,aliyah,,,,,,,,,,
aliza,,,,aliza,,,,,,,,,,
all,,all,,,,,,all,,,,,,
allan,,,,allan,,,,,,,,,,
allee,allee,,,,,,,,,,,,,
allen,,,,allen,,,,,allen,,,,,
alley,alley,,,,,,,,,,,,,
allie,,,,allie,,,,,,,,,,
