term,function,pii,"not_pii"
ave,"1st_address","0.017687155949212063","-0.0005710127167846566"
avn,"1st_address","0.08195384090812051","-0.00005827711826174472"
beach,"1st_address","0.06148359323277316","-0.00010030849007244423"
blvd,"1st_address","0.08126543667596275","-0.0002468818414242111"
centre,"1st_address","0.04708885530490063","0.0000018815487708521249"
ct,"1st_address","0.5796068721658663","-0.0069892822106733705"
dr,"1st_address","0.057336087681718204","-0.0012420029161072006"
ext,"1st_address","0.015603626040045658","-0.00013954862073175926"
extension,"1st_address","0.028301759273270923","-0.00015398924298495295"
fall,"1st_address","0.030844231559110556","-0.00004837393979398824"
falls,"1st_address","0.03911693098554302","-0.00006827036049508712"
fort,"1st_address","0.11035723477976243","-0.00043071318447016364"
green,"1st_address","0.012768713295785756","-0.00009959524831438228"
haven,"1st_address","0.011983670955365035","0.000003198200402608497"
hills,"1st_address","0.22362949077477007","-0.00013410865101121068"
island,"1st_address","0.1604831347864509","-0.00012116533318086205"
ky,"1st_address","0.024245516230579654","-0.00007799341505530117"
lake,"1st_address","0.022298630969772117","-0.00017956439181293887"
lane,"1st_address","0.05344913005023151","-0.00014567860966118026"
meadow,"1st_address","0.03060925654115761","-0.00014248646711140356"
mt,"1st_address","0.07389651360357807","-0.0001817273152482726"
park,"1st_address","0.20827473184006778","-0.00029148875282673553"
pass,"1st_address","0.17965954853181787","-0.0001169295640089248"
pkwy,"1st_address","0.05695673783983327","-0.0020214207272987324"
port,"1st_address","0.38326958621696283","0.00004805158269678878"
rapids,"1st_address","0.004742904744286598","-0.00007936500317300386"
river,"1st_address","0.0336089101177973","-0.000042800517036969774"
road,"1st_address","0.0956337169726506","-0.0036713546231329523"
square,"1st_address","0.08126313762182899","-0.00011623809757789743"
street,"1st_address","0.10395590181652314","-0.00013204931171181337"
valley,"1st_address","0.01836876875108666","0.0000017015386706915112"
all,"1st_adjective","0.41909228406803467","-0.00020077639857436742"
eastern,"1st_adjective","0.1080423116086559","-0.001761630243727648"
middle,"1st_adjective","0.06036476052551225","-0.00003481828112513594"
mobile,"1st_adjective","0.10535107278912334","-0.00012018332215937747"
new,"1st_adjective","0.09995159163847214","-0.006826775727882269"
north,"1st_adjective","0.14383671958285066","-0.0005017843373933968"
old,"1st_adjective","0.06322885321197654","-0.00041009013081972625"
red,"1st_adjective","0.09894481278740404","-0.00030203329890377017"
south,"1st_adjective","0.33473656900352144","-0.0016292277865712305"
square,"1st_adjective","0.08126313762182899","-0.00011623809757789743"
street,"1st_adjective","0.14627374835225562","-0.0038432372317569272"
subject,"1st_adjective","0.25935672320260106","-0.051417636375142114"
when,"1st_adverb","0.7035717041219872","-0.0073081033453436806"
box,"1st_verb","0.12076874753585774","-0.0002647217833717613"
drive,"1st_verb","0.09894481278740404","-0.00030203329890377017"
park,"1st_verb","0.10520617253140616","-0.00021268698505864296"
post,"1st_verb","0.09749472686426121","-0.0007037933838016954"
type,"1st_verb","2.01574400489138","0.344963531272512170"
no,"2nd_adjective","0.1105348508550247","-0.0004175413532939499"
special,"2nd_adjective","1.5891405861619325","-0.042433938429041286"
this,"2nd_adjective","0.5947835829002173","-0.004000853527306102"
assigned,"2nd_verb","0.8381001958338523","-0.039855300843085716"
beach,"2nd_verb","0.06148359323277316","-0.00010030849007244423"
box,"2nd_verb","0.31085793788227684","-0.0019429172094934020"
cash,"2nd_verb","0.07513176435706723","-0.00007887182328199698"
drive,"2nd_verb","0.602041280304564","-0.0005111988254219977"
fall,"2nd_verb","0.06445314167690787","-0.00009117445683095802"
hunt,"2nd_verb","0.1917650637604049","-0.00008042650871692155"
island,"2nd_verb","0.1996000657719939","-0.00018943569367594915"
pace,"2nd_verb","0.1917650637604049","-0.00008042650871692155"
page,"2nd_verb","0.41909228406803467","-0.00020077639857436742"
park,"2nd_verb","0.10306855930866163","-0.00007880176776809260"
place,"2nd_verb","0.14639142468780783","-0.00006786629951095387"
post,"2nd_verb","0.0709326942365271","-0.00008504354350471452"
spring,"2nd_verb","0.08195384090812051","-0.00005827711826174472"
star,"2nd_verb","0.02947236727575005","-0.00005971041604987401"
state,"2nd_verb","0.4803569417334833","0.009775414227015276"
type,"2nd_verb","1.9701293675482878","0.15132334060592678"
wise,"2nd_verb","0.1823170711113985","-0.00015063471691493645"
level,"3rd_adjective","0.11329800513519342","0.00003071256656382872"
new,"3rd_adjective","0.5323519902638629","0.073799654424309190"
no,"3rd_adjective","0.12071454029957118","-0.0002949127063496275"
special,"3rd_adjective","0.7182168939413021","-0.01746828009308362"
information,"3rd_noun","-0.04598709777344931","-0.017335707623272283"
assigned,"3rd_verb","0.7191499038293162","-0.0017520563784798797"
is,"3rd_verb","0.4043845807898619","0.0524815008735044500"
pass,"3rd_verb","0.17965954853181787","-0.0001169295640089248"
rolling,"3rd_verb","0.22362949077477007","-0.00013410865101121068"
sit,"3rd_verb","0.39041921593550494","-0.00014583477708769270"
type,"3rd_verb","1.5084057149257977","0.099070703492335600"
level,"4th_adjective","0.1450701947899961","0.0000018097592155617463"
new,"4th_adjective","0.7190245928277412","-0.037884330280980760"
subject,"4th_adjective","0.8709236922206305","-0.024965658335957663"
assigned,"4th_verb","0.03189048649876424","-0.0008265812074756882"
group,"4th_verb","0.6643241627500946","0.08371713703060735"
type,"4th_verb","1.2021818724936344","0.023002841531326573"
were,"4th_verb","0.46224465517623153","-0.028744825707047410"
new,"5th_adjective","0.1450701947899961","0.0000018097592155617463"
only,"5th_adjective","0.10945335586603976","0.00003284050600308174"
subject,"5th_adjective","0.7182168939413021","-0.01746828009308362"
box,"5th_noun","0.07238357234247554","0.000007047031715649718"
commercial,"5th_noun","0.0314983413991506","0.0000018041598259622486"
east,"5th_noun","0.1444498174930738","0.000005243782024544535"
main,"5th_noun","0.0776243495220996","0.0000036857126309284773"
mall,"5th_noun","0.15484504213738906","0.000001336020033101126"
road,"5th_noun","0.15484504213738906","0.000001336020033101126"
south,"5th_noun","0.40997216998547886","0.0000016048226993858768"
read,"5th_verb","0.46224465517623153","-0.028744825707047410"
was,"5th_verb","0.6928724158651454","0.053482810557062416"
were,"5th_verb","1.5420095240031546","-0.003960047994801386"
,addresss,"0.7102568994399938","-0.01047720604814588"
"X-X-XX-XXXXXXXXXX-XXXXXXXXX-XXXXXXXXXX-XXXX",hyphenated,"-0.037151406868288474","-0.11138530881136310"
0,spaced,"0.271009372712205","0.017673526051312620"
