expanded,term
"are not","aren't"
cannot,"can't"
because,"'cause"
"could have","could've"
"could not","couldn't"
"could not have","couldn't've"
"dare not","daren't"
"dare not","daresn't"
"dare not","dasn't"
"did not","didn't"
"does not","doesn't"
"do not","don't"
"do not know",dunno
"do you","d'ye"
ever,"e'er"
them,"'em"
"everybody is","everybody's"
"everyone is","everyone's"
"good day","g'day"
"give me",gimme
given,"giv'n"
"going to",gonna
"got to",gotta
"had not","hadn't"
"had have","had've"
"has not","hasn't"
"have not","haven't"
"he would","he'd"
"he will","he'll"
"he is","he's"
"how did","how'd"
"how do you do",howdy
"how will","how'll"
"how are","how're"
"how is","how's"
"i would","i'd"
"i would have","i'd've"
"i will","i'll"
"i am","i'm"
"i have","i've"
"is not","isn't"
"it would","it'd"
"it will","it'll"
"it is","it's"
"let us","let's"
madam,"ma'am"
"may not","mayn't"
"may have","may've"
"might not","mightn't"
"might have","might've"
"must not","mustn't"
"must not have","mustn't've"
"must have","must've"
"need not","needn't"
never,"ne'er"
old,"ol'"
"ought not","oughtn't"
"shall not","shan't"
"she would","she'd"
"she will","she'll"
"she is","she's"
"should have","should've"
"should not","shouldn't"
"should not have","shouldn't've"
"somebody is","somebody's"
"someone is","someone's"
"something is","something's"
"that will","that'll"
"that are","that're"
"that is","that's"
"that would","that'd"
"there would","there'd"
"there will","there'll"
"there are","there're"
"there is","there's"
"these are","these're"
"these have","these've"
"they would","they'd"
"they will","they'll"
"they are","they're"
"they have","they've"
"this is","this's"
"those are","those're"
"those have","those've"
"it is","'tis"
"to have","to've"
"it was","'twas"
"was not","wasn't"
"we had","we'd"
"we would have","we'd've"
"we will","we'll"
"we are","we're"
"we have","we've"
"were not","weren't"
"what did","what'd"
"what will","what'll"
"what are","what're"
"what is","what's"
"what have","what've"
"when is","when's"
"where did","where'd"
"where will","where'll"
"where are","where're"
"where is","where's"
"where have","where've"
"which would","which'd"
"which will","which'll"
"which are","which're"
"which is","which's"
"which have","which've"
"who would","who'd"
"who would have","who'd've"
"who will","who'll"
"who are","who're"
"who is","who's"
"who have","who've"
"why did","why'd"
"why are","why're"
"why is","why's"
"will not","won't"
"would have","would've"
"would not","wouldn't"
"would not have","wouldn't've"
"you would","you'd"
"you will","you'll"
"you are","you're"
"you have","you've"
