"dict_address","dict_adjective","dict_adverb","dict_first_name","dict_noun","dict_preposition","dict_pronoun","dict_surname","dict_verb","past_participle","past_tense",plural,"present_tense",term
,,,,a,,,,,,,,,a
,,,aaden,,,,,,,,,,aaden
,,,aadhya,,,aadhya,,,,,,,aadhya
,,,aaliyah,,,aaliyah,,,,,,,aaliyah
,,,aarav,,,,,,,,,,aarav
,,,aaron,,,,,,,,,,aaron
,,,,,,,abbott,,,,,,abbott
,,,abby,,,abby,,,,,,,abby
,,,abdiel,,,,,,,,,,abdiel
,,,abdullah,,,,,,,,,,abdullah
,,,abel,,,,,,,,,,abel
,,,abigail,,,abigail,,,,,,,abigail
,,,,abilities,,,,,,,True,,abilities
,,,,ability,,,,,,,,,ability
,able,,,,,,,,,,,,able
,,about,,,about,,,,,,,,about
,,above,,,above,,,,,,,,above
,,,abraham,,,,,,,,,,abraham
,,,abram,,,,,,,,,,abram
,,,abril,,,abril,,,,,,,abril
,,abroad,,abroad,,,,,,,,,abroad
,,,,abroads,,,,,,,True,,abroads
,,absolutely,,,,,,,,,,,absolutely
,,,,abuse,,,,abuse,,,,,abuse
,,,,,,,,abused,,True,,,abused
,,,,abuses,,,,,,,True,,abuses
,,,,,,,,abusing,,,,True,abusing
,,,,,,,,accept,,,,,accept
,acceptable,,,,,,,,,,,,acceptable
,,,,,,,,accepted,,True,,,accepted
,,,,,,,,accepting,,,,True,accepting
,,,,access,,,,access,,,,,access
,,,,,,,,accessed,,True,,,accessed
,,,,accesses,,,,,,,True,,accesses
,,,,,,,,accessing,,,,True,accessing
,,,,accident,,,,,,,,,accident
,,,,accidents,,,,,,,True,,accidents
,according,,,,,,,according,,,,,according
,,,,,,,,accordinged,,True,,,accordinged
,,,,,,,,accordinging,,,,True,accordinging
,,,,account,,,,account,,,,,account
,,,,,,,,accounted,,True,,,accounted
,,,,,,,,accounting,,,,True,accounting
,,,,accounts,,,,,,,True,,accounts
,accurate,,,,,,,,,,,,accurate
,,,,,,,,accuse,,,,,accuse
,,,,,,,,accused,,True,,,accused
,,,,,,,,accusing,,,,True,accusing
,,,ace,,,,,,,,,,ace
,,,,,,,acevedo,,,,,,acevedo
,,,,,,,,achieve,,,,,achieve
,,,,,,,,achieved,,True,,,achieved
,,,,,,,,achieving,,,,True,achieving
,,,achilles,,,,,,,,,,achilles
,,,,,,,acosta,,,,,,acosta
,,,,,,,,acquire,,,,,acquire
,,,,,,,,acquired,,True,,,acquired
,,,,,,,,acquiring,,,,True,acquiring
,,across,,,across,,,,,,,,across
,,,,act,,,,act,,,,,act
,,,,,,,,acted,,True,,,acted
,,,,,,,,acting,,,,True,acting
,action,,,action,,,,,,,,,action
,,,,actions,,,,,,,True,,actions
,active,,,active,,,,,,,,,active
,,,,actives,,,,,,,True,,actives
,,,,activities,,,,,,,True,,activities
,,,,activity,,,,,,,,,activity
,,,,actor,,,,,,,,,actor
,,,,actors,,,,,,,True,,actors
,,,,acts,,,,,,,True,,acts
,actual,,,,,,,,,,,,actual
,,actually,,,,,,,,,,,actually
,,,,ad,,,,,,,,,ad
,,,ada,,,ada,,,,,,,ada
,,,adaline,,,adaline,,,,,,,adaline
,,,adalyn,,,adalyn,,,,,,,adalyn
,,,adalynn,,,adalynn,,,,,,,adalynn
,,,adam,,,,,,,,,,adam
,,,,,,,adams,,,,,,adams
,,,adan,,,,,,,,,,adan
,,,,,,,,adapt,,,,,adapt
,,,,,,,,adapted,,True,,,adapted
,,,,,,,,adapting,,,,True,adapting
,,,,,,,,add,,,,,add
,,,,,,,,added,,True,,,added
,,,addilyn,,,addilyn,,,,,,,addilyn
,,,addilynn,,,addilynn,,,,,,,addilynn
,,,,,,,,adding,,,,True,adding
,,,addison,,,addison,,,,,,,addison
,,,addisyn,,,addisyn,,,,,,,addisyn
,,,,addition,,,,,,,,,addition
,additional,,,,,,,,,,,,additional
,,,,additions,,,,,,,True,,additions
,,,,address,,,,address,,,,,address
,,,,,,,,addressed,,True,,,addressed
,,,,addresses,,,,,,,True,,addresses
,,,,,,,,addressing,,,,True,addressing
,,,addyson,,,addyson,,,,,,,addyson
,,,adelaide,,,adelaide,,,,,,,adelaide
,,,adele,,,adele,,,,,,,adele
,,,adelina,,,adelina,,,,,,,adelina
,,,adeline,,,adeline,,,,,,,adeline
,,,adelyn,,,adelyn,,,,,,,adelyn
,,,adelynn,,,adelynn,,,,,,,adelynn
,,,aden,,,,,,,,,,aden
,,,adilynn,,,adilynn,,,,,,,adilynn
,,,,,,,,adjust,,,,,adjust
,,,,,,,,adjusted,,True,,,adjusted
,,,,,,,,adjusting,,,,True,adjusting
,,,,,,,adkins,,,,,,adkins
,,,adley,,,adley,,,,,,,adley
,,,,administration,,,,,,,,,administration
,,,,administrations,,,,,,,True,,administrations
,administrative,,,,,,,,,,,,administrative
,,,,,,,,admire,,,,,admire
,,,,,,,,admired,,True,,,admired
,,,,,,,,admiring,,,,True,admiring
,,,,,,,,admit,,,,,admit
,,,,,,,,admited,,True,,,admited
,,,,,,,,admiting,,,,True,admiting
,,,adonis,,,,,,,,,,adonis
,,,,,,,,adopt,,,,,adopt
,,,,,,,,adopted,,True,,,adopted
,,,,,,,,adopting,,,,True,adopting
,,,adrian,,,,,,,,,,adrian
,,,adriana,,,adriana,,,,,,,adriana
,,,adrianna,,,adrianna,,,,,,,adrianna
,,,adriel,,,,,,,,,,adriel
,,,adrien,,,,,,,,,,adrien
,,,adrienne,,,adrienne,,,,,,,adrienne
,,,,ads,,,,,,,True,,ads
,adult,,,adult,,,,,,,,,adult
,,,,adults,,,,,,,True,,adults
,,,,advance,,,,advance,,,,,advance
,,,,,,,,advanced,,True,,,advanced
,,,,,,,,advanceded,,True,,,advanceded
,,,,advances,,,,,,,True,,advances
,,,,,,,,advancing,,,,True,advancing
,,,,advantage,,,,advantage,,,,,advantage
,,,,,,,,advantaged,,True,,,advantaged
,,,,advantages,,,,,,,True,,advantages
,,,,,,,,advantaging,,,,True,advantaging
,,,,advertising,,,,,,,,,advertising
,,,,advertisings,,,,,,,True,,advertisings
,,,,advice,,,,,,,,,advice
,,,,advices,,,,,,,True,,advices
,,,,affair,,,,,,,,,affair
,,,,affairs,,,,,,,True,,affairs
,,,,affect,,,,affect,,,,,affect
,,,,,,,,affected,,True,,,affected
,,,,,,,,affecting,,,,True,affecting
,,,,affects,,,,,,,True,,affects
,,,,,,,,afford,,,,,afford
,,,,,,,,afforded,,True,,,afforded
,,,,,,,,affording,,,,True,affording
,afraid,,,,,,,,,,,,afraid
,after,,,,after,,,,,,,,after
,afternoon,,,afternoon,,,,,,,,,afternoon
,,,,afternoons,,,,,,,True,,afternoons
,,again,,,,,,,,,,,again
,,,,,against,,,,,,,,against
,,,,age,,,,age,,,,,age
,,,,,,,,aged,,True,,,aged
,,,,agencies,,,,,,,True,,agencies
,,,,agency,,,,,,,,,agency
,agent,,,agent,,,,,,,,,agent
,,,,agents,,,,,,,True,,agents
,,,,ages,,,,,,,True,,ages
,aggressive,,,,,,,,,,,,aggressive
,,,,,,,,aging,,,,True,aging
,ago,ago,,,,,,,,,,,ago
,,,,,,,,agree,,,,,agree
,,,,,,,,agreed,,True,,,agreed
,,,,,,,,agreeing,,,,True,agreeing
,,,,agreement,,,,,,,,,agreement
,,,,agreements,,,,,,,True,,agreements
,,,,,,,aguilar,,,,,,aguilar
,,,,,,,aguirre,,,,,,aguirre
,,,agustin,,,,,,,,,,agustin
,,ahead,,,,,,,,,,,ahead
,,,ahmad,,,,,,,,,,ahmad
,,,ahmed,,,,ahmed,,,,,,ahmed
,,,aidan,,,,,,,,,,aidan
,,,aiden,,,,,,,,,,aiden
,,,ailani,,,ailani,,,,,,,ailani
,,,aileen,,,aileen,,,,,,,aileen
,,,ainsley,,,ainsley,,,,,,,ainsley
,,,,air,,,,air,,,,,air
,,,,,,,,aired,,True,,,aired
,,,,,,,,airing,,,,True,airing
,airline,,,airline,,,,,,,,,airline
,,,,airlines,,,,,,,True,,airlines
,,,,airport,,,,,,,,,airport
,,,,airports,,,,,,,True,,airports
,,,,airs,,,,,,,True,,airs
,,,aisha,,,aisha,,,,,,,aisha
,,,aitana,,,aitana,,,,,,,aitana
,,,aiyana,,,aiyana,,,,,,,aiyana
,,,alaia,,,alaia,,,,,,,alaia
,,,alaina,,,alaina,,,,,,,alaina
,,,alan,,,,,,,,,,alan
,,,alana,,,alana,,,,,,,alana
,,,alani,,,alani,,,,,,,alani
,,,alanna,,,alanna,,,,,,,alanna
,,,alannah,,,alannah,,,,,,,alannah
,,,alaric,,,,,,,,,,alaric
,,,,alarm,,,,alarm,,,,,alarm
,,,,,,,,alarmed,,True,,,alarmed
,,,,,,,,alarming,,,,True,alarming
,,,,alarms,,,,,,,True,,alarms
,,,alaya,,,alaya,,,,,,,alaya
,,,alayah,,,alayah,,,,,,,alayah
,,,alayna,,,alayna,,,,,,,alayna
,,,albert,,,,,,,,,,albert
,,,alberto,,,,,,,,,,alberto
,,,,alcohol,,,,,,,,,alcohol
,,,,alcohols,,,,,,,True,,alcohols
,,,alden,,,,,,,,,,alden
,,,aldo,,,,,,,,,,aldo
,,,aleah,,,aleah,,,,,,,aleah
,,,alec,,,,,,,,,,alec
,,,aleena,,,aleena,,,,,,,aleena
,,,alejandra,,,alejandra,,,,,,,alejandra
,,,alejandro,,,,,,,,,,alejandro
,,,alena,,,alena,,,,,,,alena
,,,alessandra,,,alessandra,,,,,,,alessandra
,,,alessandro,,,,,,,,,,alessandro
,,,alessia,,,alessia,,,,,,,alessia
,,,alex,,,,,,,,,,alex
,,,alexa,,,alexa,,,,,,,alexa
,,,alexander,,,,alexander,,,,,,alexander
,,,alexandra,,,alexandra,,,,,,,alexandra
,,,alexandria,,,alexandria,,,,,,,alexandria
,,,alexia,,,alexia,,,,,,,alexia
,,,alexis,,,alexis,,,,,,,alexis
,,,alexzander,,,,,,,,,,alexzander
,,,,,,,alfaro,,,,,,alfaro
,,,alfonso,,,,,,,,,,alfonso
,,,alfred,,,,,,,,,,alfred
,,,alfredo,,,,,,,,,,alfredo
,,,ali,,,,ali,,,,,,ali
,,,alia,,,alia,,,,,,,alia
,,,aliana,,,aliana,,,,,,,aliana
,,,alice,,,alice,,,,,,,alice
,,,alicia,,,alicia,,,,,,,alicia
,,,alijah,,,,,,,,,,alijah
,,,alina,,,alina,,,,,,,alina
,,,alisa,,,alisa,,,,,,,alisa
,,,alisha,,,alisha,,,,,,,alisha
,,,alison,,,alison,,,,,,,alison
,,,alistair,,,,,,,,,,alistair
,alive,,,,,,,,,,,,alive
,,,alivia,,,alivia,,,,,,,alivia
,,,aliya,,,aliya,,,,,,,aliya
,,,aliyah,,,aliyah,,,,,,,aliyah
,,,aliza,,,aliza,,,,,,,aliza
,all,,,,,all,,,,,,,all
,,,allan,,,,,,,,,,allan
allee,,,,,,,,,,,,,allee
,,,allen,,,,allen,,,,,,allen
alley,,,,,,,,,,,,,alley
,,,allie,,,allie,,,,,,,allie
,,,allison,,,allison,allison,,,,,,allison
,,,,,,,,allow,,,,,allow
,,,,,,,,allowed,,True,,,allowed
,,,,,,,,allowing,,,,True,allowing
ally,,,,,,,,,,,,,ally
,,,allyson,,,allyson,,,,,,,allyson
,,,alma,,,alma,,,,,,,alma
